Name                                                Stmts   Miss  Cover
-----------------------------------------------------------------------
caustaza_backend_project/about/__init__.py              0      0   100%
caustaza_backend_project/about/admin.py                 7      0   100%
caustaza_backend_project/about/apps.py                  4      0   100%
caustaza_backend_project/about/models.py               14      1    93%
caustaza_backend_project/about/serializers.py           6      0   100%
caustaza_backend_project/about/translation.py           5      0   100%
caustaza_backend_project/about/views.py                14      0   100%
caustaza_backend_project/conftest.py                    4      0   100%
caustaza_backend_project/contacts/__init__.py           0      0   100%
caustaza_backend_project/contacts/admin.py              6      0   100%
caustaza_backend_project/contacts/apps.py               4      0   100%
caustaza_backend_project/contacts/models.py            13      1    92%
caustaza_backend_project/contacts/serializers.py       10      1    90%
caustaza_backend_project/contacts/views.py              7      0   100%
caustaza_backend_project/feedbacks/__init__.py          0      0   100%
caustaza_backend_project/feedbacks/admin.py             7      0   100%
caustaza_backend_project/feedbacks/apps.py              4      0   100%
caustaza_backend_project/feedbacks/models.py           13      1    92%
caustaza_backend_project/feedbacks/serializers.py       6      0   100%
caustaza_backend_project/feedbacks/views.py            14      0   100%
caustaza_backend_project/jobs/__init__.py               0      0   100%
caustaza_backend_project/jobs/admin.py                  7      0   100%
caustaza_backend_project/jobs/apps.py                   4      0   100%
caustaza_backend_project/jobs/models.py                13      1    92%
caustaza_backend_project/jobs/serializers.py            6      0   100%
caustaza_backend_project/jobs/translation.py            5      0   100%
caustaza_backend_project/jobs/views.py                 14      0   100%
caustaza_backend_project/services/__init__.py           0      0   100%
caustaza_backend_project/services/admin.py             17      3    82%
caustaza_backend_project/services/apps.py               4      0   100%
caustaza_backend_project/services/models.py            24      3    88%
caustaza_backend_project/services/serializers.py       11      0   100%
caustaza_backend_project/services/translation.py        8      0   100%
caustaza_backend_project/services/views.py             32     10    69%
caustaza_backend_project/teams/__init__.py              0      0   100%
caustaza_backend_project/teams/admin.py                17      3    82%
caustaza_backend_project/teams/apps.py                  4      0   100%
caustaza_backend_project/teams/models.py               27      2    93%
caustaza_backend_project/teams/serializers.py          12      0   100%
caustaza_backend_project/teams/translation.py           8      0   100%
caustaza_backend_project/teams/views.py                14      0   100%
-----------------------------------------------------------------------
TOTAL                                                 365     26    93%
